clock,pid,state,cpu_done,cpu_total,io_done,io_total
70,9,WAITING,4,56,38,152
70,10,WAITING,4,56,34,142
71,1,WAITING,4,43,67,154
71,2,WAITING,4,21,63,93
71,3,WAITING,2,57,61,64
71,4,WAITING,4,85,57,65
71,5,WAITING,2,39,55,77
71,6,WAITING,4,50,51,180
71,7,WAITING,4,56,47,104
71,8,WAITING,4,46,43,94
71,9,WAITING,4,56,39,152
71,10,WAITING,4,56,35,142
72,1,WAITING,4,43,68,154
72,2,WAITING,4,21,64,93
72,3,WAITING,2,57,62,64
72,4,WAITING,4,85,58,65
72,5,WAITING,2,39,56,77
72,6,WAITING,4,50,52,180
72,7,WAITING,4,56,48,104
72,8,WAITING,4,46,44,94
72,9,WAITING,4,56,40,152
72,10,WAITING,4,56,36,142
73,1,WAITING,4,43,69,154
73,2,WAITING,4,21,65,93
73,3,WAITING,2,57,63,64
73,4,WAITING,4,85,59,65
73,5,WAITING,2,39,57,77
73,6,WAITING,4,50,53,180
73,7,WAITING,4,56,49,104
73,8,WAITING,4,46,45,94
73,9,WAITING,4,56,41,152
73,10,WAITING,4,56,37,142
74,1,WAITING,4,43,70,154
74,2,WAITING,4,21,66,93
74,4,WAITING,4,85,60,65
74,5,WAITING,2,39,58,77
74,6,WAITING,4,50,54,180
74,7,WAITING,4,56,50,104
74,8,WAITING,4,46,46,94
74,9,WAITING,4,56,42,152
74,10,WAITING,4,56,38,142
74,3,RUNNING,3,57,64,64
75,1,WAITING,4,43,71,154
75,2,WAITING,4,21,67,93
75,4,WAITING,4,85,61,65
75,5,WAITING,2,39,59,77
75,6,WAITING,4,50,55,180
75,7,WAITING,4,56,51,104
75,8,WAITING,4,46,47,94
75,9,WAITING,4,56,43,152
75,10,WAITING,4,56,39,142
75,3,RUNNING,4,57,64,64
76,1,WAITING,4,43,72,154
76,2,WAITING,4,21,68,93
76,4,WAITING,4,85,62,65
76,5,WAITING,2,39,60,77
76,6,WAITING,4,50,56,180
76,7,WAITING,4,56,52,104
76,8,WAITING,4,46,48,94
76,9,WAITING,4,56,44,152
76,10,WAITING,4,56,40,142
76,3,RUNNING,5,57,64,64
77,1,WAITING,4,43,73,154
77,2,WAITING,4,21,69,93
77,4,WAITING,4,85,63,65
77,5,WAITING,2,39,61,77
77,6,WAITING,4,50,57,180
77,7,WAITING,4,56,53,104
77,8,WAITING,4,46,49,94
77,9,WAITING,4,56,45,152
77,10,WAITING,4,56,41,142
77,3,RUNNING,6,57,64,64
78,1,WAITING,4,43,74,154
78,2,WAITING,4,21,70,93
78,4,WAITING,4,85,64,65
78,5,WAITING,2,39,62,77
78,6,WAITING,4,50,58,180
78,7,WAITING,4,56,54,104
78,8,WAITING,4,46,50,94
78,9,WAITING,4,56,46,152
78,10,WAITING,4,56,42,142
78,3,RUNNING,7,57,64,64
79,4,READY,4,85,65,65
79,1,WAITING,4,43,75,154
79,2,WAITING,4,21,71,93
79,5,WAITING,2,39,63,77
79,6,WAITING,4,50,59,180
79,7,WAITING,4,56,55,104
79,8,WAITING,4,46,51,94
79,9,WAITING,4,56,47,152
79,10,WAITING,4,56,43,142
79,3,RUNNING,8,57,64,64
80,4,READY,4,85,65,65
80,1,WAITING,4,43,76,154
80,2,WAITING,4,21,72,93
80,5,WAITING,2,39,64,77
80,6,WAITING,4,50,60,180
80,7,WAITING,4,56,56,104
80,8,WAITING,4,46,52,94
80,9,WAITING,4,56,48,152
80,10,WAITING,4,56,44,142
80,3,RUNNING,9,57,64,64
81,4,READY,4,85,65,65
81,1,WAITING,4,43,77,154
81,2,WAITING,4,21,73,93
81,5,WAITING,2,39,65,77
81,6,WAITING,4,50,61,180
81,7,WAITING,4,56,57,104
81,8,WAITING,4,46,53,94
81,9,WAITING,4,56,49,152
81,10,WAITING,4,56,45,142
81,3,RUNNING,10,57,64,64
82,4,READY,4,85,65,65
82,1,WAITING,4,43,78,154
82,2,WAITING,4,21,74,93
82,5,WAITING,2,39,66,77
82,6,WAITING,4,50,62,180
82,7,WAITING,4,56,58,104
82,8,WAITING,4,46,54,94
82,9,WAITING,4,56,50,152
82,10,WAITING,4,56,46,142
82,3,RUNNING,11,57,64,64
83,4,READY,4,85,65,65
83,1,WAITING,4,43,79,154
83,2,WAITING,4,21,75,93
83,5,WAITING,2,39,67,77
83,6,WAITING,4,50,63,180
83,7,WAITING,4,56,59,104
83,8,WAITING,4,46,55,94
83,9,WAITING,4,56,51,152
83,10,WAITING,4,56,47,142
83,3,RUNNING,12,57,64,64
84,4,READY,4,85,65,65
84,1,WAITING,4,43,80,154
